Type name;Member type;Member name;Signature;Inherited;Documentation

Command;Static method;SetActiveSelection;public static void SetActiveSelection(ICollection<object> selectedObjects);;Set the active selection from a collection of DocObjects
Command;Static method;GetSpeosObjectsInActivePart;public static IEnumerable<object> GetSpeosObjectsInActivePart();;Get the Speos objects contained in the active Part
Command;Static method;GetErrorStatus;public static string GetErrorStatus(object docObject);;Get the error status of the given object
Command;Static method;IsUpToDate;public static bool IsUpToDate(object docObject);;Ask if the given object was modified since its last successful computation
Command;Static method;Compute;public static void Compute(System.Object[] selectedObjects);;Perform the computation of an array of objects
Command;Static method;Compute;public static void Compute(SpaceClaim.Api.V232.IDocObject[] selectedObjects);;Perform the computation of an array of DocObjects
Command;Static method;Compute;public static void Compute(Inf.SpaceClaim.Automation.IApiSpeosDocObject[] selectedObjects);;Perform the computation of an array of script objects
Command;Static method;ComputeOnActiveSelection;public static void ComputeOnActiveSelection();;Perform the computation of the active selection
Command;Static method;HpcCompute;public static void HpcCompute(System.Object[] selectedObjects);;Perform the HPC computation of an array of objects
Command;Static method;HpcCompute;public static void HpcCompute(SpaceClaim.Api.V232.IDocObject[] selectedObjects);;Perform the HPC computation of an array of DocObjects
Command;Static method;HpcCompute;public static void HpcCompute(Inf.SpaceClaim.Automation.IApiSpeosDocObject[] selectedObjects);;Perform the HPC computation of an array of script objects
Command;Static method;HpcComputeOnActiveSelection;public static void HpcComputeOnActiveSelection();;Perform the HPC computation of the active selection
Command;Static method;GpuCompute;public static void GpuCompute(System.Object[] selectedObjects);;Perform the GPU computation of an array of objects
Command;Static method;GpuCompute;public static void GpuCompute(SpaceClaim.Api.V232.IDocObject[] selectedObjects);;Perform the GPU computation of an array of DocObjects
Command;Static method;GpuCompute;public static void GpuCompute(Inf.SpaceClaim.Automation.IApiSpeosDocObject[] selectedObjects);;Perform the GPU computation of an array of script objects
Command;Static method;GpuComputeOnActiveSelection;public static void GpuComputeOnActiveSelection();;Perform the GPU computation of the active selection
Command;Static method;PreviewCompute;public static void PreviewCompute(System.Object[] selectedObjects);;Perform the Preview computation of an array of objects
Command;Static method;PreviewCompute;public static void PreviewCompute(SpaceClaim.Api.V232.IDocObject[] selectedObjects);;Perform the Preview computation of an array of DocObjects
Command;Static method;PreviewCompute;public static void PreviewCompute(Inf.SpaceClaim.Automation.IApiSpeosDocObject[] selectedObjects);;Perform the Preview computation of an array of script objects
Command;Static method;PreviewComputeOnActiveSelection;public static void PreviewComputeOnActiveSelection();;Perform the Preview computation of the active selection
Command;Static method;GetOutputFolder;public static string GetOutputFolder();;Get the Speos output files directory path for the active context
Command;Static method;GetInputFolder;public static string GetInputFolder();;Get the Speos input files directory path for the active context
Component;Static method;FromSelection;public static IEnumerable<App.Automation.SIM.Component> FromSelection(IEnumerable<SpaceClaim.Api.V232.IDocObject> selectionItems);;Convert Items of a ScriptSelection to a list of Speos objects when their type is matching.
Component;Static method;Find;public static App.Automation.SIM.Component Find(string objectName);;Returns the object whose name matches exactly the specified string. Or, if the exact name is not found, the first object whose name matches the string as a regular expression. Example: Find("StartOfName.*")
Component;Method;FindOccurrenceInActivePart;public object FindOccurrenceInActivePart();Yes;Search for occurrences of this object in the active Part
Component;Method;FindOccurrenceInContextOf;public SpaceClaim.Api.V232.IDocObject FindOccurrenceInContextOf(SpaceClaim.Api.V232.IDocObject contextObject);Yes;Search for occurrences of this object in the specified Part
Component;Method;ToString;public string ToString();Yes;Get a text representation of the object (used by the Script interpreter when the mouse cursor hovers an object variable)
Component;Method;Delete;public bool Delete();Yes;Delete this object
Component;Method;GetChildSubjects;public IEnumerable<SpaceClaim.Api.V232.CustomObject> GetChildSubjects();Yes;Retrieve all children as DocObjects
Component;Method;GetChildren;public IEnumerable<TSpecificApiType> GetChildren<TSpecificApiType>();Yes;Retrieve all direct children of a given type
Component;Method;Compute;public void Compute();Yes;Execute the Compute command on the object
Component;Method;PublishParameter;public void PublishParameter(string fieldName, bool trueToPublish);Yes;Publish or un-publish a number attribute as driving parameter
Component;Method;PublishAllParametersToWorkbench;public void PublishAllParametersToWorkbench(bool trueToPublish);Yes;Call this method to expose all object's attributes so that they can be accessible and driven from Workbench.
Component;Method;ApplyPreset;public void ApplyPreset(string presetFilePath);Yes;Update the object configuration values according to the specified Preset file. Note: some object types are not compatible with the 'Presets' feature, and in such a case the method will report an error.
Component;Method;ExportToPreset;public string ExportToPreset(string filePath);Yes;Export the current object configuration to a Preset file. Note: some object types are not compatible with the 'Presets' feature, and in such a case the method will report an error.
Component;Property;Subject;SpaceClaim.Api.V232.CustomObject Subject;Yes;Get the underlying CustomObject, associated to the API object wrapper
Component;Property;Name;string Name;Yes;Get or Set the name of the object
Component;Property;Visible;bool Visible;Yes;Change the visibility status (same behavior as checking/unchecking on the tree view item)
Component;Property;StatusInfo;string StatusInfo;Yes;Get the status of the object (warning or error message)
Component;Property;IsUpToDate;bool IsUpToDate;Yes;Ask if the object was modified since its last successful computation
