Group,Model Name,Model ID,Property,Symbol,Column 1 Name,Parameter 1 Name,Parameter 1 Symbol
General,Classification,classification,Material class,,,,
,,,Material family,,,,
,,,Material sub-class,,,,
,,,Material form,,,,
,,,Material state,,,,
General,Description,description,Description,,,,
,,,Estimation notes,,,,
,,,Extrapolation note,,,,
General,Rendering,rendering,Red,R,,,
,,,Green,G,,,
,,,Blue,B,,,
,,,Opacity,,,,
,,,Metallic finish,,,,
Physical,Density,density,Density,rho,,,
Physical,Density with temperature,density.with.temp,Density,rho,,Temperature,T
Physical,Dynamic viscosity,dynamic.viscosity,Dynamic viscosity,,,,
Physical,Dynamic viscosity with temperature,dynamic.viscosity.with.temp,Dynamic viscosity,,,Temperature,T
Physical,Molecular mass,molecular.mass,Molecular mass,,,,
Elastic,"Elasticity, isotropic",elasticity.isotropic,Tensile modulus,E,,,
,,,Poisson's ratio,v,,,
Elastic,"Elasticity, isotropic with temperature",elasticity.isotropic.with.temp,Tensile modulus,E,,Temperature,T
,,,Poisson's ratio,v,,Temperature,T
Elastic,Bulk modulus,bulk.modulus,Bulk modulus,,,,
Elastic,Shear modulus,shear.modulus,Shear modulus,,,,
Plasticity,Simple failure,simple.failure,"Tensile strength, yield",YS,,,
,,,"Tensile strength, ultimate",UTS,,,
,,,Tensile elongation,e,,,
Plasticity,Simple failure with temperature,simple.failure.with.temp,"Tensile strength, yield",YS,,Temperature,T
,,,"Tensile strength, ultimate",UTS,,Temperature,T
Plasticity,Tangent modulus,tangent.modulus,Tangent modulus,,,,
Thermal,Specific heat capacity,specific.heat.capacity,Specific heat capacity,Cp,,,
Thermal,Specific heat capacity with temperature,specific.heat.capacity.with.temp,Specific heat capacity,Cp,,Temperature,T
Thermal,Thermal conductivity,thermal.conductivity,Thermal conductivity,k,,,
Thermal,Thermal conductivity with temperature,thermal.conductivity.with.temp,Thermal conductivity,k,,Temperature,T
Thermal,Thermal expansion coefficient,thermal.expansion.coefficient,Thermal expansion coefficient,CTE,,,
Thermal,Thermal expansion coefficient with temperature,thermal.expansion.coefficient.with.temp,Thermal expansion coefficient,CTE,,Temperature,T
,,,Reference temperature,,,,
Thermal,Glass transition temperature,glass.transition.temperature,Glass transition temperature,Tg,,,
Electrical,Electrical resistivity,electrical.resistivity,Electrical resistivity,,,,
Electrical,Electrical resistivity with temperature,electrical.resistivity.with.temp,Electrical resistivity,,,Temperature,T
,,,Temperature coefficient,,,,
Electromagnetic,Df / Dk,df.dk,Dielectric constant,Dk,,,
,,,Dielectric loss tangent,Df,,,
Electromagnetic,Df / Dk with frequency,df.dk.with.frequency,Dielectric constant,Dk,,Frequency (high),f
,,,Dielectric loss tangent,Df,,Frequency (high),f
Magnetic,B-H curve,b.h.curve,B-H curve,B,Flux density,Magnetic field intensity,H
Sustainability,Sustainability properties,sustainability,"Climate change (CO2-eq), primary production",CO2,,,
,,,"Embodied energy, primary production",EE,,,
,,,Recycle,R,,,
