Group,Model Name,Model ID,Property,Symbol,Parameter 1 Name,Parameter 1 Symbol,Parameter 2 Name,Parameter 2 Symbol
General,Classification,classification,Material class,,,,,
,,,Material family,,,,,
,,,Material sub-class,,,,,
,,,Material form,,,,,
,,,Material state,,,,,
General,Description,description,Description,,,,,
,,,Estimation notes,,,,,
,,,Extrapolation note,,,,,
General,Rendering,rendering,Red,R,,,,
,,,Green,G,,,,
,,,Blue,B,,,,
,,,Opacity,,,,,
,,,Metallic finish,,,,,
Physical,Density,density,Density,rho,,,,
Elastic,"Elasticity, isotropic",elasticity.isotropic,Tensile modulus,E,,,,
,,,Poisson's ratio,v,,,,
Thermal,Specific heat capacity,specific.heat.capacity,Specific heat capacity,Cp,,,,
Thermal,Thermal conductivity,thermal.conductivity,Thermal conductivity,k,,,,
Optics,Optical classification,optical.classification,Catalog,Catalog,,,,
,,,Material name,NM,,,,
,,,MIL number,MIL,,,,
,,,Exclude substitution,ES,,,,
,,,Status,Status,,,,
,,,Comments,GC,,,,
,,,Melt frequency,MF,,,,
Optics,Model glass,model.glass,Refractive index at 587.6 nm,Nd,,,,
,,,Abbe number at 587.6 nm,Vd,,,,
,,,Differential partial dispersion,dPgF,,,,
Optics,"Thermal expansion coefficient, optics",thermal.expansion.coefficient.optics,"Thermal expansion coefficient, -30°C to 70°C",TCE1,,,,
,,,"Thermal expansion coefficient, 100°C to 300°C",TCE2,,,,
,,,Ignore thermal expansion,ITCE,,,,
Optics,Dispersion model,dispersion.model,Formula number,Formula,,,,
,,,Minimum valid wavelength,LDmin,,,,
,,,Maximum valid wavelength,LDmax,,,,
,,,Coefficient D1,D1,,,,
,,,Coefficient D2,D2,,,,
,,,Coefficient D3,D3,,,,
,,,Coefficient D4,D4,,,,
,,,Coefficient D5,D5,,,,
,,,Coefficient D6,D6,,,,
,,,Coefficient D7,D7,,,,
,,,Coefficient D8,D8,,,,
,,,Coefficient D9,D9,,,,
,,,Coefficient D10,D10,,,,
Optics,Thermal model,thermal.model,Coefficient D0,D0,,,,
,,,Coefficient D1,D1,,,,
,,,Coefficient D2,D2,,,,
,,,Coefficient E0,E0,,,,
,,,Coefficient E1,E1,,,,
,,,Coefficient of refractive index,Ltk,,,,
,,,Reference temperature,Temp,,,,
Optics,Knoop hardness,knoop.hardness,Knoop hardness,HK,,,,
Optics,Relative cost,relative.cost,Relative cost,RC,,,,
Optics,Climate resistance,climate.resistance,Climate resistance,CR,,,,
Optics,Chemical resistance,chemical.resistance,Stain resistance,FR,,,,
,,,Acid resistance,SR,,,,
,,,Alkali resistance,AR,,,,
,,,Phosphate resistance,PR,,,,
Optics,Internal transmission vs. wavelength,Internal.transmission.vs.wavelength,Internal transmission,IT,Wavelength,lambda,Thickness,t
Optics,Stress birefringence,stress.birefringence,Wavelength,lambda,,,,
,,,Coefficient K,K,,,,
,,,Coefficient K11,K11,,,,
,,,Coefficient K12,K12,,,,
